id,score,review
261,Positive,gayet güzel bir ürün yikadiginizda cildiniz canlanıyor
262,Positive,6 aydır severek kullanıyorum cildi çok güzel temizliyor makyaj temizlemek içinde ideal
263,Neutral,orta pek bir faydasini goremedim
264,Negative,Gözlerim çok hassas olduğu için her ürünü kullanamıyorum. Bu ürünüde bir umut tavsiyeyle aldım ama kaşıntı ve kızarıklık yaptı. Ayrıca akmada yaptı. Onun dışında sürümü ve rengi çok iyi.
265,Negative,Dudakları çok kurutuyor
266,Positive,Aşşırı memnun kaldığım bir ürün ama mutlaka nemlendiriciyle beraber kullanılmalı
267,Neutral,Ucunun ince oluşu tüm işi kolaylaştırıyor:)
268,Positive,Biodermanın kaçıncı yüz temizleme jelini aldım hatırlamıyorum bile o kadar memnunum. Küçük bir damlası bile yoğun temizlemeye sahip olduğu için uzun süre gidiyor ürün. Cildinizi yıkadıktan sonra sanki bir ağırlık kalkmış gibi hissediyorsunuz
269,Neutral,kalıcı değil
270,Neutral,simdilik işe yaramadi biraz daha kullanmak gerekir
271,Neutral,Arada durup çalışıyor onun haricinde iş görür
272,Negative,yorumlara aldanmayın kesinlikle bir işe yaramıyor. aldığıma pişman oldum. bunu alacağınıza paranızı çöpe atın
273,Neutral,Alın
274,Neutral,Hiç memnun kalmadım
275,Positive,Yorumlara bakarak almıştım çok memnun kaldım kesinlikle tavsiye ederim
276,Positive,Roaccutane'ın kuruttuğu dudakları nemlendirmeyi başarabilen tek dudak nemlendiricisi.
277,Negative,"Resimdekilerin minyatürü geliyor, elimin yarısı kadar boyutları.. allık fırçası vs. nasıl kullanılacak bilmiyorum diğer fırçaları kullanabilmeyi umuyorum.. iadeyle uğraşamam.."
278,Negative,Ürünü satın aldım Oyuncak gibi çok küçük
279,Negative,"Yorumlara bakarak almaya karar vermiştim çok renk vermediği yazıyordu, fakat dark brown rengi böyle değil daha küllü bir renk, bu kızıla kaçıyor rengi açık. Renk veriyor hatta ara ara yoğun geliyor bütün olarak kalıyor kaşın arasında. Keşke direkt renksiz sabitleyici alsaydım renk vermiyor denmesi kafamı karıştırdı"
280,Neutral,çokda beğenmedim.acikcasi
281,Positive,"Gerçekten harika, cilde aydınlık vermesinin yanı sıra doku düzenleme etkisiyle gözeneklerime de etki edip gözle görülür şekilde küçülttü bir haftada 🌺✨"
282,Positive,Çok güzel bir ürün özellikle roakutan kullananların dudaklarında yara ve çatlağı hemen geçiriyor tavsiye ederim alın derim
283,Neutral,Fena değil beğendik
284,Positive,Uzun yıllardır kullandığım bır ürün fiyatıda güzel paketlemede güzel yapılmış teşekkürler
285,Neutral,Ruj koymak icin olan girisleri biraz küçük ve hepsi ayni boy. Arkadaki bosluklar daha uzun olsa daha kullanisli olabilirmis.
286,Positive,İki defa kullandım. İlk kullanımda bile etkisini gösterdi. Fiyatına göre çok uygun ürün👌🏻
287,Negative,Hiçbir işe yaramıyorrr almayın kızlar
288,Neutral,"Kaliteli bir maske, cildimi pürüzsüzleştirdi👍🏼"
289,Neutral,inanilmaz derecede yaglandiroyor sac dokulmesinide durmadi
290,Negative,hiçbir işe yaramayan bir ürün.
291,Negative,"ilk kullanımdan itibaren öksürük, boğazda yanma ve ağrı, akciğerlerde sıkışma tarzı bir rahatsızlık ve ağrı hissine sebep oldu. Rahat nefes alamıyormuş gibi hissediyorum ve derin nefes alınca ciğerlerim acıyor.Sürdükten sonra   zararlı bir kimyasalın buharlaşarak solunum sistemini etkilediğini düşünüyorum, bulantı ve iştahsızlık da var bir miktar"
292,Neutral,süreli kullandığım bir ürün
293,Negative,ben normalde lazere gidiyorum virusten dolayı gidemiyorum bu da lazer başlıklı diye aldım bildiğiniz jilet gibi 2 hafta önce almıştım bu fiyata hüsranaa uğradım paranıza yazık
294,Neutral,Henüz yeni geldi kullanmadım ama bayağı övüldü umarım etkisini görürüm
295,Negative,Fiyat uygundu ürün kötü Çok kötü saten deniliyor ama paraşüt gibi ses çıkarıyor
296,Neutral,Aslında biraz baharat Ve biraz kıs kokusu fakat arkadaşlar teninizde eğer parfüm kalmıyor Ve pudramsı kokular kullanamıyor ağır kokuları bu yüzden tercih ediyorsanız kesinlikle almayın  çünkü 1 hafta oldu belkide alalı bitti neredeyse sürekli sıkıyorum Ve bir kaç dakika sonra sanki doldurma gibi garip bir koku. Ama diyorsanız ki benim tenimde mükemmel koku kalır kesinlikle alın derim.
297,Neutral,rengi resimdekinden bir tık daha açık
298,Neutral,"oldukça güzel ve kullanımı rahat ,"
299,Positive,keratin uygulayacağım için aldım öncesinde saçımı boyamış olmama rağmen ikisini kullanınca sıfıra yakın yıpranmışlık hissi oldu saçlarım yumuşacık ve mis gibi kokuyor
300,Negative,rengi akiyor tavsiye etmem
301,Neutral,paketleme mükemmel ama bu ürüne bu para çok fazla mini mini minicik
302,Positive,Paketlemesi çok çok iyiydi. Sapasağlam geldi ürünüm. İçeriği temiz olmasından dolayı tercih ettim. Tavsiye ederim.
303,Neutral,fiyatına gore idare eder
304,Negative,ürün üzerindeki hediye puan sökülmüştü niye çıkardıklarını anlayamadım orjinalliği hakkında şüpheliyim
305,Neutral,Fena değil
306,Negative,Çok sızdırıyor almayın
307,Neutral,Kokusu aktarlara girersin de bir koku alırsın ya öyle yani ilaç gibi kokuyor ama ilk defa kullandım faydasını görürsem derim
308,Negative,pek iyi sayilmaz
309,Positive,Teslimat çok çabuk gerçekleşti ve sağ salim ürün elime ulaştı. Ürünü pembe istemiştim fakat sarı renk geldi ama oda çok güzel duruyor fiyata göre performansı şuan iyi bir sıkıntı yaşamadım yeni kullanmaya başladım umarım memnun kalırım 💛
310,Positive,Cildimi çizmeden derınlemesıne temızlıyor ardından kuru cıltler ıcın nemlendırıcı sürmek gerekır diyr düşünüyorum
311,Positive,ürün ilk yıkamada etkisini gösterdi. ombreli saçlarımın uc kısımları griye döndü. üst kısımlardaki türünculuklar azaldı. birkaç kez yıkamadan sonra türüncular geçer diye umuyorum.Ayrica yumuşacık yapıyor saçları.
312,Negative,yorumlara bakarak almıştım ama bana yalnis marka ürün geldi ...Kalitesi medium di ...oysa çok heveslenmiştim...Üzülerek iade ettim...
313,Negative,resimde büyük görünüyor göründüğü gibi değil
314,Positive,Bir kere kullandım ürünü ben böyle birşey görmedim gerçekten saçlarım çok yıpranmıştı yün gibi saçlarımı ilk seferde bile yumuşacık yaptı ben bu üründen asla vazgeçmem. Saçlarım da fazla açıcıdan kopmalar var çok iyi geldi. Umarım bu kalitede devam eder.
315,Neutral,"Ürün güzel, daha önce aldım, ama şimdi kutuyu neredeyse boş buldum ve sıvı her yerde, lütfen sızıntiyi önlemek için bir dahaki sefere kapağı sıkın"
316,Negative,Ürün çok kötü kalitede. Ne parasına nede bekleyeceğiniz zamana değer.
317,Neutral,Güzel ama üç fırçanın çeşitlendirildiğini düşünün yani fırça uçlarının hepsi farklı olabilirdi
318,Neutral,"Ürünü 1 haftadır düzenli kullanıyorum ve her gün 30 dk kardiyo ve 30 dk pilates yapıyorum. Spordan önce sürüyorum ilk başta hiç yakma hissetmiyorum spor boyunca da öyle 1 saatin sonunda genelde izometrik kas kasılmalarında yanmaya başlıyor sürdüğüm yerler, 20 dk içinde de geçiyor. Öyle dayanılmaz bir yanma ve süre etkisi yok. Gözle görülür bir faydasını da henüz görmedim. Büyük bir etki zaten spordan da kaynaklı olacaktır. Gerekli bir ürün değilmiş ama madem para verdik  Şişe bitene kadar kullanalım bakalım. Çok fark yaratırsa tekrar gelir yazarım"
319,Positive,ürün gerçekten çok güzel ilk kullanımda etkisi görülüyor ciddi anlamda. yüzünüzü yumuşatıyor ve daha da pürüzsüzleştiriyor
320,Positive,Kargo çok iyi herhangibir sorun yoktu şampuan da saç maskeside güzel tavsiye ederim
321,Negative,Sonuç hüsran bukadar gereksiz ve işe yaramayan bir ürün olamaz.. tam bir fiyasko
322,Neutral,Yağlandırmıyor çift fazlılara göre daha az çıkarıyor ama güzel bir ürün
323,Neutral,fena değil
324,Positive,gayet kullanışlı ve beğendiğim bir ürün oldu şarjı o kadar uzun zaman gidiyor ki. Piyasadaki pahalı ürünlere gerçek bir muadil olduğunu düşünüyorum aynı işi yaptığını düşünüyorum.
325,Neutral,çok güzel tavsiye ederim
326,Neutral,işe yarayip yaramadiğini bilmiyorum ama güzel paketlenmişti
327,Negative,"Hiç beğenmedim Gerçekten hiç bir işe yaramayan bir ürün, keratin li bir çok şey kullandım bu kadar kötüsünü hiç görmedim, saçımı ucuz bir krem kadar yumuşatmadı bile maske, değil ki onarmak.. diğerini içine su koyup göndermişler nerdeyse..."
328,Negative,"Hiç beğenmedim , birden haşlayıp daha sonrasında leke bırakıyor"
329,Positive,Krem sürerken kullanıyorum. Fiyatına göre gayet iyi
330,Neutral,ilk kez deneyeceğim kıvılcımlarımı toparlar umarım
331,Neutral,"Allıkları için aldım, farlarda da renk çeşidi çok fazla."
332,Positive,Tedarik süreci bayağı uzundu. Onun dışında güzel bir ürün. Cilde canlılık veriyor. Almayı düşünen arkadaşlar tereddüt etmeden alabilirsiniz. Pişman olacağınızı düşünmüyorum.
333,Positive,"yüzü çok hoş nemlendiriyor ve aydınlatıyor,lekeye çözüm olur mu?Onu d uzun vadede göreceği m"
334,Neutral,Bende pul pul durdu. Çok sevmedim. Kuru-karma ciltlere önermem
335,Negative,Tam göründüpü gibi
336,Neutral,Güzel bir krem ama çok küçük
337,Negative,kumaşı çok kötü asla pijama olucak kadar rahat bir kumaş değil. 3 tane sipariş verdim. Biri pilesiz dikilmiş. Hiç memnun kalmadım. Kalıpları dar.
338,Neutral,pek kullanisli gelmedi bana🤷‍♀️
339,Negative,Hemen dikişleri açıldı çok kötü ürün👎🏻 Yazık verilen paraya samimiyetimle yazıyorum bu markaya bu kalite olmadı👎🏻
340,Negative,tek beklediğim taramayı kolaylaştırmasıydı ama bunu bile yapamıyor ağırlastiriyor ve yagli bir goruntu oluyor kullandigim en kötü yağ asla tavsiye etmiyorum
341,Neutral,Çok etkisini göremedim o yüzden tavsiye etmem
342,Neutral,"Sıvı parafin içeren bir ürün. Gözeneklerin tıkanmasına sebep olan sıvı parafin, toksinlerin deriden uzaklaşmasına engel olduğu gibi ürün içeriğindeki bitkisel yağlardan alınan verimi de illaki düşürecektir."
343,Neutral,Fırca baglantilari çok iyi değil
344,Negative,T bölgesi yağlı olan yanak bölgeleri kuru olan bir karma cilt tipim var ben defalarca şans verdim bu ürüne kullanımımda evet bir beyazlık sağladı ama  her kullanımımda yüzümde sivilce çıkarttı özellikle anlım pütür pütür oldu indirimde alınıp kullanılabilir fakat bu fiyata riskli bir ürün
345,Neutral,fena değil diyelim
346,Positive,parlak görünüm sağlıyor. başarılı
347,Positive,Mütiş mütiş kurutmuyor herşeyi denedim ama bundan vazgeçemiyorum
348,Positive,"Fırça kısmındaki tüyler yumuşacık çok güzel, tırtıklı kısmı da çok iyi peelingde kullanıyorum . Kullanışlı indirimli iken aldım"
349,Neutral,Yapış yapış his bırakıyor beğenmedim
350,Negative,Görüntü güzel de keşke beden konusunda bilgilendirseniz. 64 kiloyum üst bedenim 36-38  L beden almama rağmen ancak oldu. Üstelik kurdelelerin bağlandığı şerit kısmındaki metal halka çıkmıştı. Uğraşmak istemiyorum iade işlemleriyle. Deri çok ince zaten deri de denmez. Dikişler atıyor.
351,Positive,Rengi harika
352,Positive,fiyati çok uygun kokusu çok hos olmasada ürün iyi
353,Positive,Yıllar öncesinden kullandığım için başarısını bildiğim bir ürün kesinlikle hızlı uzamaya ve saçları yumuşatmaya yetiyor. Sadece çok fazla sürmeyin saçtan arındırması zor olabilir.
354,Neutral,yani eğer çok dışardaysa siyah noktalarınız aslında çok işe yarıyor ama derindeyse çok etkili değil ve bir gün boyunca kızarık duruyor
355,Neutral,ürün  dokusu çok iyi  etkiside güzel
356,Positive,"aldığımdan beri hiç şarj etmedim şarj performansı çok iyi ve 1 ay  önce aldım, diğer markalara o kadar çok para vermeye gerek yok. Her aksam yatmadan önce  temizleme jelimle yikiyorum derinlemesine temizliyor"
357,Positive,kullanımı çok kolay akışkan ve hemen emiliyor. makyaj yaparken de rahatlıkla kullanılabilir👍🏻
358,Neutral,Çok bir faydası olduğu söylenemez
359,Negative,bugun elime ulasti çok kötü paketlenmis yarisi bosalmis sekilde geldi
360,Neutral,Resimdekiyle hiç alakası yok çok koyu...
361,Positive,bu fiyata almayın. heryer satiyor suan. pahaliya aldim
362,Neutral,pigmenti güzel ama çok küçük
363,Positive,Fırçasının ve plastik kısmının yumuşaklığı çok güzel. Önce kullandığımü ürün yüzümde kızarıklık yapıyordu ama bu üründe olmadı. Paketleme ve kargonun elime ulaşma hızı da çok tatmin edici. Emeği geçen herkese teşekkürler.
364,Negative,Duruşu çok eğreti iade ettim
365,Positive,çok güzel nemlendiriyo indirimdeyken alın deriim
366,Positive,Uzun zamandir kullandigim bir üründu indirim olunca hemen aldim teşekkürler trendyol
367,Neutral,Ürün hafif yapılı fakat tek sevmediğim yanı yüzümde emilmiş olsa bile yapış yapış hissi bırakıyor.Nemlendirmesi  orta düzeyde.
368,Neutral,Vaatlerini tam anlamıyla yerine getirmiyo 5. kullanışım fazla etkili diyemem bitirdikten sonra net sonucu yeniden yazarım
369,Negative,"Bu markanın ürünlerini çok beğendiğim için bu ürünü de aşık olarak almıştım. Lâkin paketi açmamla şok oldum. Ürün etiketsiz gelmişti ve şortun bağcığında beyaz bir dikiş vardı. Belki ürünün üzerine hatayla yapılmıştır, ben sökerim dedim ama bildiğiniz o kısım yırtık bir parçaydı ve beyaz iple dikilmişti. Direkt trendyol müşteri hizmetlerini arayarak iade talebi oluşturdum ama bazı sebeplerden ötürü iade süresi içerisinde iade edemedim ve ürün elimde kaldı. “Ne olacak sanki zaten evde giyeceğim” diye düşünerek ürünü kullanmaya başladım. Tam bedeninizi alabilirsiniz. İlk giydiğinizde vücudunuzu tamamen sarıyor ama bir süre sonra kumaş kendini salıyor. Muhtemelen 1-2 yıkamadan sonra tamamen kendini salacak ve rengi solacak. Ürünün üst parçası dışarıda da tercih edebileceğiniz basic bir ürün. Sepetime eklediğim bir sürü ürün vardı bu markadan. Ama şimdi bayağı tereddütte kaldım."
370,Positive,Hafif ve fresh bir kokusu var. Çok beğendim sadece kalıcılığı çok değil bir süre sonra uçup gidiyor çantada taşımalık güzel bir ürün.
371,Negative,Kalitesiz beyenmedim
372,Positive,Ürün güzel yüzü temizliyor performans çok iyi ama fiyatı birden aşırı arttı bu konuda şikayetçiyim
373,Positive,Ben çok beğendim harika
374,Negative,Pudra gibi görünüyor ama soluk bir kahverengi gibi
375,Positive,Gerçekten işe yarıyor. Düzenli kullanimda lekeler geciyor.
376,Neutral,"Ehhh işte, yazılan yorumlardaki gibi değil pek ben bir ışıltı ya da aydınlık göremedim, fiyatı uygunken alındığında iş görür"
377,Neutral,Çok tozutuyor ve çok simli
378,Negative,ürün sarı yerden sürekli çıkıyor tavsiye etmiyorum
379,Positive,çok memnun kaldım tavsiye ederim
380,Negative,bu puani bile haketmiyor.üstu aşırı kalitesiz.
381,Neutral,Çok güzel ama biraz küçük
382,Neutral,Güzel ve sağlıklı
383,Positive,"Orta ağırlığı olan bir koku, günlük hayatınızda rahatlıkla kullanabilirsiniz :)"
384,Negative,Beğenmedim
385,Negative,Hiç de modelde göründüğü gibi değil duruşunu hiç beğenmedim anlamsızca üzerime  olmadı bacak kısımları çok biçimsiz görünüyor umarım giydikçe şekil alır
386,Neutral,güzel bir ürün
387,Positive,ürün çok güzel ilk günden etkisini gösteriyor indirim ı takip edip stok yapacağım
388,Negative,Kepeklenme yaptı.
389,Negative,Fotograftaki gibi renkli gelmesini bekliyordum. Ama normal sade geldi. Renkli olduğu için sipariş etmiştim. Fotoğraftaki gibi gelmediği için tavsiye etmiyorum.
390,Positive,Yıllarıdır vazgeçmediğim tek ruj. Mac mochanın muadili
391,Negative,Güzel geldi
392,Negative,Kokusu çok güzel ama kalıcı değil
393,Neutral,Çok küçük boy gelıyor ona göre alın
394,Negative,Ürün elime ulaştığında ebat olarak şoka uğradım ürün çok küçük ve işlev olarak yetersiz.
395,Positive,TEmiz içeriğine rağmen ter kokusuyla baş edebilen başarılı bir ürün.
396,Positive,En sevdiğim koku paketlemesi de güzel
397,Positive,çok uyguna aldım süper ürün
398,Negative,Çok saçma pijama altı düşük bel ve hiç rahat değil
399,Negative,Bende garip bir şekilde kepeklenme yaptı ürünü kullanmayı bıraktıktan sonra kepek geçti kullanamayacağım bu yüzden
400,Negative,A Sıfır etki
401,Neutral,fazla sıvı ama güzel bir renk
402,Negative,Bence biraz abartılıyor ben bir farklılık gözlemlemedim
403,Neutral,fiyatı çok uygun fakat.. fiyati çok uygun ama bekledigimden küçük geldi 3-4cm süngerlerin boyu haberiniz olsun :) ama yine de kullanışlı. Alınabilir.
404,Negative,Teslimat çokgeç o yüzden 1 yıldız veriyorum
405,Negative,Hiç beğenmedim mühür falanda yok
406,Neutral,Olmasa da olur dediğim ürünlerden. Bir puanı paketlemenin özensizliğinden kırıyorum.
407,Neutral,Ürün fiyatına göre gayet olması gerektiği gibi uygun iş gören birsey istiyorsanız tercih edebilirsiniz. Ve çok hızlı kargoladilar
408,Neutral,idare eder
409,Neutral,Mucize yaratmiyor idare eder
410,Neutral,hafif bir kokusu var ama kaliciligi iyi değil
411,Neutral,Rengi koyu saç kremiyle açmak gerekiyor cilde ve lavaboya deyince kolay çıkmıyor alkolle ancak temizleniyor
412,Positive,Kokusu çok güzel  saçı yumuşatıyor daha bir kez kullandım ama memnunum
413,Positive,Çok iyi bir ürün parasına göre uygun yüzü bayağı iyi temizliyor
414,Negative,boyu kısa tutmuyor
415,Negative,Berbat bir ürün boşa aldı
416,Positive,indirimde aldım harika ❤
417,Neutral,Kokusu o kadar güzel ki her kokladığımda parfümü olsa keşke diyorum öyle basit bir koku değiş çok farklı. ama benim saçımı biraz yapıştırdı kabarmayı önlüyor eğer saçlarınızın kabarmasından hoşlanmıyorsanız bu ürün tam size göre bide köpürmüyor pek köpürmediği için iti temizlemiyo hissine kapılmayın benim saçımı gayet iyi temizledi.
418,Negative,Ürünün kalıbı dar bir beden büyük alırsanız daha iyi olur
419,Positive,gerçekten yararını gördüğüm bir ürün saçları sert ve yıpranmış olanlar mutlaka kullanmalarını tavsiye ederim
420,Neutral,"Boyutu küçük korka korka sürüyorum 🤓işlevi daha iyi Olanı tercih edilebilir , ben ilk defa aldığım için daha bir etkisini göremedim"
421,Negative,Sivilce yaptı bildiğin el kremi gibi birşey açıkçası nemlendirmesi yok. Kuru cilt yazdığı için ve iyi yorumlar aldığı denemek istemiştim. Sonuç olarak iyi ki küçüğünü almışım parama yazık olacaktı.
422,Negative,Evet kısa bir ürün ama en önemlisi arkasında çok potluk oluyor. Yoksa rengi harika üzülerek iade ettim
423,Neutral,Ürün ciltte bir pürüzsüxlük kazandırıyor fakat tortulanma da bıraktı cildimde.
424,Positive,Güzel ürün eşime aldım özenli paket hızlı ve güvenli teslimat
425,Positive,İnce tüyler için ideal
426,Positive,Elinize aldığınızda küçücük evet ama güneş kremleri de senelerce kullanılmaz. Gerçekten çok memnunum sıvı olması sebebiyle sürümü kolay diğer güneş kremleri gibi yüze yapışıp rahatsızlık hissi vermiyo
427,Neutral,Güzel beğendim
428,Negative,hiç güzel değil plastik
429,Negative,Rengi göründüğünden daha açık beğenmedim hiç.
430,Positive,Bu fiyata çok uygun
431,Negative,Rengi göründüğünden çok çok daha koyu
432,Neutral,Çene bölgemi çok kuruttu pul pul soyuluyor cildim karma üründe de karma ciltler için yazıyor ama daha çok yağlı cilde uygun gibi beğenmedim 👎🏻
433,Negative,Çok küçük bayağı
434,Neutral,Çok açmıyor aslında yazın kullanıma daha uygun bir ürün
435,Positive,Pahalı markalardan farkı yok tavsiye ederim şarjıda bayağı iyi gidiyor
436,Positive,koku fazla kalıcı değil ama güzel
437,Negative,ürünün metal bölümleri daha ilk haftadan paslandı. çok kalitesiz.
438,Neutral,Bir aydır kullanıyorum.bir sonuç göremedim.
439,Neutral,Sanırım ben çok sürdüm aşırı yağlandırdı saçımı
440,Positive,Cildinizi temizledikten sonra gerçekten o temizliği hissediyorsunuz..Eşim bile bir kere denedi artık devamlı kullaniyor.
441,Neutral,Yani fena değil
442,Neutral,Normal güzel ürün
443,Neutral,eh Ben bir farklılık hissedemedim
444,Positive,çok güzel bir ürün çok memnunum bittikçe alincak bir ürün
445,Positive,Ebat yorumlardaki gibi küçük bir ruj boyu kasar ama kapatıcılığı güzel
446,Neutral,İyi nemlendiriyor memnun kaldım
447,Positive,Benim neredeyse senelerdir saçım aynı boyda bir ay olmadan etkisini gördüm.Saçtan çıkması biraz zor ama en güzel yöntemi hiç su değmeden kuru saçı şampuanla yıkamak
448,Neutral,İdeal yumuşaklıkta 2. Kullanışım aldığıma değer umarım.
449,Negative,Beklediğim gibi değildi çok daha küçük geldi gözüme
450,Neutral,beklentimi fazla karşılamadı elinize ulaşnca sizde fark edeceksiniz renk aynı geliyor fakat dudağınıza sürünce sonuç pek memnun etmiycek açık ton kapatıcılığı yok
451,Negative,Fotoğraftaki ile aynı ürün gelmedi!kalitesiz ve kalın uçlu bir makas geldi
452,Neutral,Aynen göründüğü gibi geldi teşekkür ederiz
453,Positive,Ürün çok güzel kokuyor. Yağlı ve sivilceli cildimi yatıştırdı. Kızarıklıkları aldı. Ayrıca kargo hızlı geldi. Yanındaki hediye için teşekkür ederim :)
454,Negative,"Deterjan tabletleri birbirine yapışık ,ayırmaya çalıştıkça hep patladılar:("
455,Neutral,Çok fazla etkisini görmedim
456,Neutral,Benim yüzümde sivilce yaptı arkadaşlar beğenmedim 1 hafta düzenli kullandım sivilcelenme gittikçe çoğalınca bıraktım kullanmayacağım
457,Negative,beş para etmez çöpe attım..kesinlikle almayın
458,Positive,"çok etkili bir sampuan, fazlasi saci mavi yesil yapiyo"
459,Positive,Ürünü beğendim tavsiye ederim
460,Neutral,Maalesef ürün patlamıştı bu sebepten memnun kalmadım
461,Positive,"Kargolama gayet hızlı ve özenliydi. Duş sonrası gözenekler açılmışken denedim. Öncelikle en düşük derecede çene kısmında deneme yaptım ancak cildiniz benimki gibi kuruysa leke gibi iz bırakıyor (uzun sürmeden geçti) makineden kaynaklı değil cilde bağlı bir problem bu.  Daha nemli ama ıslak olmayan alın, bürün kullanımında herhangi bir sıkıntı yaşamadım. Çok derin siyah nokta lekelerim yok ancak minik minik çekmeye başladığını gördüm. Yorumlarda okumuştum uzun vadeli kullanımda sonuç alınacağını düşünüyorum. Tavsiye ederim."
462,Neutral,aldık bakalım deneyeceğiz
463,Negative,Beş para etmez 2 kez kullanıp çöpe attım kasınma ve kepek yaptı
464,Positive,Çok araştırarak ve uygun fiyata aldım. çok övülen ve tavsiye edilen bir ürün.  yoğun vazelin gibi bir kıvamı var.  bereketli bir ürün. Henüz çok uzun süre kullanmadım fakat faydasını göreceğim belli.
465,Positive,titreşimi gayet iyi beğendim daha bir kere kullanabıldim :) ama çok hoşuma gitti
466,Positive,Renk renk ayırabılırsınız çok güzel
467,Negative,Kesinlikle la roshe ürünleri çok iyi
468,Negative,internetten aldığım en kötü ürün. pazardan alsam daha güzel olurdu. sortu o kadar kötü ki. babanne donu gibi.  kanmayın resimdekine hiç alakası bile yok. hayal kırıklığı
469,Positive,indirimden alındığında çok daha uyguna güzel bir ürün
470,Positive,Sürekli kullandığım bir ürün
471,Negative,Saten değil ürün bildiğin naylon kesinlikle değmiyor parasına üstelik rengi de fotograftakilerden çok farklı
472,Positive,Severek kullandığım bir üründü gayet uygun fiyat ve kalite.
473,Neutral,uzun süredir kullanıyorum ama cildimde gözle görülür bir değişiklik olmadı
474,Negative,Yüzde çok kötü duruyor hemen kuruyor
475,Positive,Çok beğendim.  Saçım çok yıpranmıştı. Yumuşacık oldu ve kokusu çok güzel. Ayrıca ambalajı çok iyiydi ve özel hissettiren hediyeleri beni mutlu etti. Teşekkürler
476,Neutral,beklentimi karşıladı oğlum ve kendim için aldım
477,Positive,Fiyatı çok uygun ve çok güzel nemlendiriyor
478,Neutral,kapetleme çok güzel geldı..uzun sure gidebilecek bı ürün aldıgıma pısman olmadım daha yuxume kullanmadım karantınadada kullanmma gerk yok zten kullanınca yazarım tekrardan yprum
479,Negative,Asla güzel bir ürün değil
480,Neutral,fiyatina gore oldukca güzel kaliciligi orta  kokusu güzel alinabilr bayada  büyük sisesi
481,Negative,Aaaaaaaaaaaaa
482,Negative,3 uncu gun bozuldu . gerçekten diyecek bisey bulamiyorm
483,Positive,renk biraz koyu ama güzel çok yazlık renk  eşitliyor
484,Neutral,henüz kullanmaya başlamadım ama etrafımda ki insanlardan kuşburnu yağının cilde iyi geldiğini duydum. Paketlemeyi beğenemedim.  Faydasını gördükten sonra yorumumu güncellerim
485,Neutral,saclarım dalgalı bukle acısından extra bisey katmadı sprey ve durulanmayan kremin kokusu çok güzel ama yapıs yapıs yapmasını hiç beğenmedim bidaha almam
486,Negative,Ürünün yapısı çok güzel fakat ne açıklamalarda ne de görselde bronzlaştırıcı olduğu yazmıyordu. Elimde başka güneş kremi olmadığı için mecburen kullanıyorum.
487,Neutral,Ürün hızlı paketi düzgün teslim aldım. Fakat istediğim renk değişimini alamadım birazcık gri yansıma verdi sadece.
488,Positive,tavsiyeler üzerine aldım 2 haftadır kullanmama rağmen iyi geldiğini fark edebiliyorum
489,Neutral,Ortalama bir ürün tekrar alacagımı sanmıyorum
490,Neutral,Paketlemesi çok iyiydi hiçbir sıkıntı yaşamadım etkisini de kullandıkça göreceğiz
491,Neutral,"Ekstra bir etkisini görmedim çok iyi ya da çok kötü diyemem, çok çabuk bitiyor:/"
492,Positive,harika bir ürün bu fiyata kaçmaz bence
493,Neutral,Yorumlara bakarak büyük beklentiyle aldım tamda saçımın ihtiyacı olduğu şey buydu ama olmadı.elektriklenmeye pek etkisi olmadı.sadece belki şekillendirici krem biraz toparlamış olabilir saçımı.
494,Positive,Kokusu ve saçımı yumuşacık yapması bakımından bayıldım
495,Negative,Kesinlikle çok basit ürün
496,Negative,Yaka kayma yapmiyior 👍🏻 ancak boy biraz kısa gibi
497,Negative,Çok kisa kullanissiz kesinlikle ! Sadece s bedenlere gore bence
498,Positive,İki tarafı da kullanışlı fırçası yumuşacık bu fiyata kaçırmayın derim.
499,Neutral,Daha denemedim ama kargosu çok iyi
500,Positive,Saçlarda dökülmeyi belirgin derecede azaltıyor. Hem de yumuşacık yapıyor. Kendi yakın arkadaşlarıma dahi önerdiğim bir ürün
501,Neutral,Benim yüzümde sivilce yaptı neden anlamadım
502,Negative,Çok kötü oyuncak gibi sakın almayın bir işe yaramaz
503,Neutral,yaklaşık 1 aydır kullanıyorum. içine yılan yağı ve 3 ayrı vitamin ampulü kırdım o şekilde uyguluyorum. saçlarımda güçlenme söz konusu fakat özellikle bunu alın diyemem. henüz 1. kutum bitmedi. bittikten sonra belki fikrim değişir. şuan için sadece saçlarımı güçlendirdiğini söyleyebilirim.
504,Neutral,Saç açmak için almayın.Saçlarınız açılmışsa tavsiye ederim .
505,Positive,Ürün suda akmıyor çok güzel kirpikleri tek tek ayırıyor
506,Neutral,Kullanışlı değil ya da ben kullanmayı beceremedim işe yaramadı
507,Positive,Hep kullandığım bir ürün. Tertemiz bir his veriyor. Karma ciltliyseniz benim gibi yüzünüzün kuru noktalarını bu ürünle yıkamaktan kaçınabilirsiniz çünkü çok kurutuyor.
508,Neutral,ürünü kullanmaya başladım yaklaşık 4 gün oldu fena değil şans verilebilir
